"TF","TargetGene"
"Stat1(+)","Apobec2"
"Stat1(+)","Rftn1"
"Stat1(+)","Plcl2"
"Stat1(+)","Kat2b"
"Stat1(+)","Fsd1"
"Stat1(+)","Sema6b"
"Stat1(+)","Gm11110"
"Stat1(+)","Rab12"
"Stat1(+)","Xdh"
"Stat1(+)","Slc30a6"
"Stat1(+)","Nlrc4"
"Stat1(+)","Eif2ak2"
"Stat1(+)","Rmdn2"
"Stat1(+)","Cyp1b1"
"Stat1(+)","Dhx57"
"Stat1(+)","Slc8a1"
"Stat1(+)","Rbbp8"
"Stat1(+)","Tmem173"
"Stat1(+)","Pcdhb6"
"Stat1(+)","Taf7"
"Stat1(+)","Pcdhga9"
"Stat1(+)","Prelid2"
"Stat1(+)","Dcp2"
"Stat1(+)","C330018D20Rik"
"Stat1(+)","Isoc1"
"Stat1(+)","Adamts19"
"Stat1(+)","Gm4951"
"Stat1(+)","Gm4841"
"Stat1(+)","F830016B08Rik"
"Stat1(+)","Iigp1"
"Stat1(+)","Cd74"
"Stat1(+)","Ppargc1b"
"Stat1(+)","Arhgef37"
"Stat1(+)","Alpk2"
"Stat1(+)","Malt1"
"Stat1(+)","Gnal"
"Stat1(+)","Pstpip2"
"Stat1(+)","Adnp2"
"Stat1(+)","Ap5b1"
"Stat1(+)","Kat5"
"Stat1(+)","Batf2"
"Stat1(+)","Ehd1"
"Stat1(+)","Ccdc88b"
"Stat1(+)","Prdx5"
"Stat1(+)","Polr2g"
"Stat1(+)","Fth1"
"Stat1(+)","Ccdc86"
"Stat1(+)","AW112010"
"Stat1(+)","Ms4a4a"
"Stat1(+)","Ms4a4c"
"Stat1(+)","Ms4a6c"
"Stat1(+)","Ms4a6b"
"Stat1(+)","Ms4a6d"
"Stat1(+)","Mpeg1"
"Stat1(+)","Apba1"
"Stat1(+)","Jak2"
"Stat1(+)","Insl6"
"Stat1(+)","Cd274"
"Stat1(+)","Ric1"
"Stat1(+)","Il33"
"Stat1(+)","Cstf2t"
"Stat1(+)","Ankrd22"
"Stat1(+)","Ifit2"
"Stat1(+)","Ifit3"
"Stat1(+)","Ifit1bl1"
"Stat1(+)","Ifit3b"
"Stat1(+)","Ifit1"
"Stat1(+)","Pcgf5"
"Stat1(+)","March5"
"Stat1(+)","Exoc6"
"Stat1(+)","Got1"
"Stat1(+)","Nfkb2"
"Stat1(+)","Mxi1"
"Stat1(+)","Acsl5"
"Stat1(+)","Vti1a"
"Stat1(+)","Casp7"
"Stat1(+)","Atrnl1"
"Stat1(+)","Maip1"
"Stat1(+)","Cops9"
"Stat1(+)","Nectin4"
"Stat1(+)","Ifi214"
"Stat1(+)","Ifi213"
"Stat1(+)","Ifi209"
"Stat1(+)","Ifi207"
"Stat1(+)","Ifi211"
"Stat1(+)","BB557941"
"Stat1(+)","5430405H02Rik"
"Stat1(+)","Zfas1"
"Stat1(+)","Gm15471"
